entity: /year
unit of measure: petajoule
energyClass,dispType,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
"naturalGas","exports",9.352542e+02,1.065197e+03,8.496055e+02,8.273685e+02,8.503360e+02,7.675596e+02,8.183032e+02,9.766248e+02,8.046071e+02,1.058397e+03,1.363367e+03,1.430934e+03,1.558613e+03,1.804270e+03,2.185312e+03,2.457887e+03,2.826162e+03,3.051213e+03,3.119323e+03,3.198645e+03,3.486131e+03,3.582377e+03,3.710676e+03,4.061992e+03,4.067988e+03,3.875653e+03,4.012279e+03,4.098254e+03,4.087831e+03
"naturalGas","imports",4.015585e+02,4.467579e+02,5.333843e+02,5.667631e+02,6.008746e+02,6.494790e+02,6.767154e+02,6.927411e+02,7.448097e+02,7.360546e+02,8.106118e+02,8.454774e+02,8.060340e+02,9.115331e+02,9.882112e+02,9.085328e+02,1.008858e+03,1.096081e+03,1.163413e+03,1.075040e+03,8.980785e+02,9.463792e+02,1.031928e+03,1.107021e+03,1.362500e+03,1.445239e+03,1.519152e+03,1.570485e+03,1.597258e+03
"NGL","production",2.516562e+02,3.217205e+02,3.356233e+02,3.352683e+02,3.257063e+02,3.316562e+02,3.538823e+02,3.412774e+02,3.406993e+02,3.894713e+02,3.837079e+02,3.859437e+02,3.989856e+02,4.103035e+02,4.462034e+02,5.127069e+02,5.256410e+02,6.180357e+02,6.194904e+02,6.336472e+02,6.305719e+02,6.691460e+02,6.980368e+02,6.746134e+02,6.262210e+02,6.569829e+02,6.507091e+02,6.585345e+02,7.224382e+02
"NGL","use",7.584527e+01,8.980668e+01,9.877504e+01,1.095468e+02,9.359996e+01,1.212665e+02,1.461024e+02,1.674949e+02,1.850073e+02,2.193026e+02,2.278842e+02,2.272724e+02,2.374809e+02,2.531949e+02,2.726620e+02,2.899908e+02,2.824464e+02,3.061163e+02,2.977535e+02,3.114347e+02,2.783491e+02,3.029898e+02,3.047420e+02,3.905286e+02,3.879661e+02,3.905124e+02,4.336276e+02,4.403488e+02,4.963366e+02
"NGL","exports",1.758109e+02,2.319138e+02,2.368483e+02,2.257215e+02,2.321063e+02,2.103897e+02,2.078239e+02,1.737826e+02,1.558390e+02,1.743247e+02,1.612437e+02,1.735144e+02,1.625907e+02,1.602866e+02,1.761133e+02,2.263071e+02,2.515107e+02,3.245974e+02,3.311979e+02,3.348144e+02,3.653687e+02,3.795332e+02,4.088988e+02,2.978637e+02,2.725205e+02,2.786966e+02,2.504747e+02,2.320856e+02,2.436466e+02
"NGL","imports",0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.400000e-02,0.000000e+00,1.470000e-01,4.156000e+00,5.420000e+00,1.484300e+01,1.086000e+00,3.178000e+00,2.572000e+00,3.591000e+00,8.316000e+00,1.267800e+01,9.461000e+00,1.260200e+01,1.314600e+01,1.337700e+01,1.560400e+01,1.377900e+01,3.426555e+01,1.222600e+01,3.339326e+01,1.390000e+01,1.754500e+01
"coal","production",7.435530e+02,8.114210e+02,8.910700e+02,9.695420e+02,1.028280e+03,1.066014e+03,1.396400e+03,1.487132e+03,1.382117e+03,1.393940e+03,1.614197e+03,1.718400e+03,1.673101e+03,1.747977e+03,1.553532e+03,1.651311e+03,1.735270e+03,1.800811e+03,1.832286e+03,1.897324e+03,1.651480e+03,1.589311e+03,1.509905e+03,1.532994e+03,1.435122e+03,1.351711e+03,1.415629e+03,1.424367e+03,1.336284e+03
"coal","use",1.622141e+03,1.904009e+03,1.908410e+03,1.933136e+03,1.925595e+03,1.973118e+03,2.042296e+03,2.028530e+03,1.959335e+03,1.977177e+03,2.105384e+03,2.044538e+03,1.813977e+03,2.009580e+03,1.987867e+03,2.020967e+03,2.221606e+03,2.134659e+03,2.072059e+03,2.210446e+03,2.214054e+03,2.304747e+03,2.411913e+03,2.397755e+03,2.188748e+03,2.160394e+03,2.205202e+03,2.104579e+03,1.978190e+03
"coal","exports",3.935645e+02,4.171241e+02,4.423813e+02,4.662208e+02,4.777084e+02,4.896056e+02,7.533588e+02,8.019937e+02,7.514764e+02,7.195264e+02,8.945339e+02,9.721147e+02,9.731817e+02,1.019637e+03,8.258080e+02,8.550699e+02,9.419509e+02,1.014278e+03,1.055581e+03,1.113361e+03,8.943423e+02,8.633883e+02,8.086118e+02,8.158661e+02,7.141325e+02,7.609458e+02,7.152810e+02,7.410432e+02,6.998613e+02
"coal","imports",1.272153e+03,1.509712e+03,1.459721e+03,1.429815e+03,1.375024e+03,1.396709e+03,1.399255e+03,1.343392e+03,1.328694e+03,1.302764e+03,1.385721e+03,1.298253e+03,1.114058e+03,1.281240e+03,1.260143e+03,1.224726e+03,1.428287e+03,1.348126e+03,1.295354e+03,1.426484e+03,1.456917e+03,1.578824e+03,1.710620e+03,1.680627e+03,1.467758e+03,1.569629e+03,1.504854e+03,1.421256e+03,1.341767e+03
"urainium","production",1.674708e+03,1.347488e+03,1.348981e+03,1.562899e+03,1.579923e+03,1.441810e+03,2.113441e+03,2.156392e+03,2.384650e+03,2.709005e+03,2.511718e+03,2.285875e+03,1.993881e+03,1.719237e+03,1.875290e+03,1.822458e+03,2.365153e+03,2.133951e+03,2.336768e+03,2.241970e+03,1.991808e+03,2.024695e+03,1.977643e+03,2.596621e+03,2.668109e+03,2.709337e+03,2.752736e+03,2.802289e+03,2.835387e+03
"urainium","use",1.216285e+02,1.360894e+02,1.475042e+02,1.531020e+02,1.467517e+02,1.880677e+02,2.000097e+02,2.326390e+02,2.729073e+02,2.940445e+02,3.173297e+02,3.077916e+02,2.786673e+02,3.234197e+02,3.063556e+02,3.555298e+02,4.064084e+02,3.703446e+02,3.540668e+02,3.139517e+02,2.900569e+02,2.902718e+02,2.904491e+02,2.930063e+02,3.099549e+02,3.179550e+02,3.429603e+02,3.640324e+02,3.580374e+02
"urainium","exports",1.553079e+03,1.211398e+03,1.201477e+03,1.409797e+03,1.433171e+03,1.253742e+03,1.913431e+03,1.923753e+03,2.111743e+03,2.414961e+03,2.194388e+03,1.978083e+03,1.715214e+03,1.395818e+03,1.568935e+03,1.466928e+03,1.958745e+03,1.763607e+03,1.982701e+03,1.928018e+03,1.719659e+03,1.743325e+03,1.698568e+03,2.303614e+03,2.358154e+03,2.391383e+03,2.409776e+03,2.438256e+03,2.477350e+03
"urainium","imports",1.993395e-06,1.993395e-06,1.993395e-06,1.993395e-06,1.993395e-06,1.229675e-05,3.098482e-05,9.950776e-05,6.067394e-06,8.237702e-05,1.993395e-06,9.639308e-05,2.164079e-05,5.123024e-05,4.811556e-05,1.993395e-06,1.993395e-06,9.182073e-06,5.901693e-05,7.147565e-05,1.790752e+01,8.901327e+00,1.137391e+01,5.590225e-05,2.787014e-05,1.993395e-06,1.993395e-06,7.303298e-05,5.278758e-05
